value,type,n,R
10.427150300650283,Strat_prop,1.0,11.0
1.5269261867614667,Strat_prop,1.0,11.0
14.44108647458125,Strat_prop,1.0,11.0
11.359281590136376,Strat_prop,1.0,11.0
10.649057344763987,Strat_prop,1.0,11.0
10.364714468999026,Strat_prop,1.0,11.0
17.037336322460895,Strat_prop,1.0,11.0
19.366099981770624,Strat_prop,1.0,11.0
10.074790191116513,Strat_prop,1.0,11.0
10.113458505464175,Strat_prop,1.0,11.0
21.138612694390403,Strat_prop,1.0,11.0
12.863839686401294,Strat_prop,1.0,11.0
8.207421093023036,Strat_prop,1.0,11.0
15.642012727118633,Strat_prop,1.0,11.0
10.15855682189489,Strat_prop,1.0,11.0
10.201364046846034,Strat_prop,1.0,11.0
10.571245286086178,Strat_prop,1.0,11.0
17.97551531590977,Strat_prop,1.0,11.0
11.396854162432872,Strat_prop,1.0,11.0
15.763140901163249,Strat_prop,1.0,11.0
12.305109494293927,Strat_prop,1.0,11.0
20.893610067855306,Strat_prop,1.0,11.0
13.097232656799033,Strat_prop,1.0,11.0
14.034925567542118,Strat_prop,1.0,11.0
9.821910914377218,Strat_prop,1.0,11.0
8.89360969444088,Strat_prop,1.0,11.0
18.50475674916503,Strat_prop,1.0,11.0
15.857921806090566,Strat_prop,1.0,11.0
9.809377590484198,Strat_prop,1.0,11.0
13.653239306619696,Strat_prop,1.0,11.0
6.7116927479790025,Strat_prop,1.0,11.0
9.454503574894698,Strat_prop,1.0,11.0
14.158396867121281,Strat_prop,1.0,11.0
10.412270553713643,Strat_prop,1.0,11.0
14.175372107918385,Strat_prop,1.0,11.0
10.142842814279259,Strat_prop,1.0,11.0
15.406624020074636,Strat_prop,1.0,11.0
11.862375882467584,Strat_prop,1.0,11.0
16.37855327196462,Strat_prop,1.0,11.0
7.218064135667005,Strat_prop,1.0,11.0
8.416106916496338,Strat_prop,1.0,11.0
17.2958957475348,Strat_prop,1.0,11.0
12.687560896784593,Strat_prop,1.0,11.0
18.32701989496924,Strat_prop,1.0,11.0
9.978483001548398,Strat_prop,1.0,11.0
14.314550450107195,Strat_prop,1.0,11.0
8.59813750623274,Strat_prop,1.0,11.0
18.763208932343677,Strat_prop,1.0,11.0
10.782462454754947,Strat_prop,1.0,11.0
6.276024269005263,Strat_prop,1.0,11.0
8.974455831776606,Strat_opt,1.0,11.0
11.567472169855803,Strat_opt,1.0,11.0
14.226717337269875,Strat_opt,1.0,11.0
7.480050245284689,Strat_opt,1.0,11.0
15.491792217924356,Strat_opt,1.0,11.0
12.992703965452813,Strat_opt,1.0,11.0
9.47745824914743,Strat_opt,1.0,11.0
7.071157343746142,Strat_opt,1.0,11.0
9.605167893016958,Strat_opt,1.0,11.0
15.571445365053926,Strat_opt,1.0,11.0
14.976912905723267,Strat_opt,1.0,11.0
8.5254090503396,Strat_opt,1.0,11.0
12.58616263994747,Strat_opt,1.0,11.0
3.99287433486911,Strat_opt,1.0,11.0
10.076546367890192,Strat_opt,1.0,11.0
8.986123137008192,Strat_opt,1.0,11.0
3.8726268703774314,Strat_opt,1.0,11.0
9.103812288127532,Strat_opt,1.0,11.0
9.803315013617333,Strat_opt,1.0,11.0
8.853608902409078,Strat_opt,1.0,11.0
15.159021030278964,Strat_opt,1.0,11.0
12.838531378961672,Strat_opt,1.0,11.0
9.037902732418901,Strat_opt,1.0,11.0
13.465429722211368,Strat_opt,1.0,11.0
20.211789637345206,Strat_opt,1.0,11.0
11.869004673505229,Strat_opt,1.0,11.0
6.475805314846966,Strat_opt,1.0,11.0
13.822553914830452,Strat_opt,1.0,11.0
13.637457864864416,Strat_opt,1.0,11.0
14.858233503757717,Strat_opt,1.0,11.0
10.890410651028049,Strat_opt,1.0,11.0
11.029435834413707,Strat_opt,1.0,11.0
17.06826805907995,Strat_opt,1.0,11.0
12.518169749368457,Strat_opt,1.0,11.0
12.690488860891868,Strat_opt,1.0,11.0
15.157948598089419,Strat_opt,1.0,11.0
5.299046755839909,Strat_opt,1.0,11.0
16.828372236526725,Strat_opt,1.0,11.0
11.68071002669201,Strat_opt,1.0,11.0
12.660137609358491,Strat_opt,1.0,11.0
15.970142446679802,Strat_opt,1.0,11.0
15.361820814755077,Strat_opt,1.0,11.0
10.006265598175826,Strat_opt,1.0,11.0
17.16462041834586,Strat_opt,1.0,11.0
8.895627522881355,Strat_opt,1.0,11.0
12.28066546831958,Strat_opt,1.0,11.0
11.871619216068673,Strat_opt,1.0,11.0
13.341379874191391,Strat_opt,1.0,11.0
15.245617208612599,Strat_opt,1.0,11.0
10.376747638536845,Strat_opt,1.0,11.0
12.155824820211802,Strat_opt,1.0,11.0
11.419180666826694,Strat_opt,1.0,11.0
12.533808134910963,Strat_opt,1.0,11.0
11.986104654957124,Strat_opt,1.0,11.0
13.432801497350502,Strat_opt,1.0,11.0
12.1314928491558,Strat_opt,1.0,11.0
9.803403282671283,Strat_opt,1.0,11.0
9.439707851663764,Strat_opt,1.0,11.0
9.919727396327666,Strat_opt,1.0,11.0
6.747737253004905,Strat_opt,1.0,11.0
14.533426213911047,Strat_opt,1.0,11.0
19.53080765240826,Strat_opt,1.0,11.0
12.377339810475412,Strat_opt,1.0,11.0
12.187015704118522,Strat_opt,1.0,11.0
6.086298539510723,Strat_opt,1.0,11.0
8.583477604879363,Strat_opt,1.0,11.0
19.57432838244208,Strat_opt,1.0,11.0
12.236809186729165,Strat_opt,1.0,11.0
